Land,Offizielle Sprache,Minderheitensprache,Landessprache,Weit verbreitet,
Abchasien [a],Abchasisch Russisch,georgisch,Abchasien,,
Afghanistan [1],Paschtu Dari,,Paschtu,,
Albanien [2],albanisch,Griechisch-mazedonischer Aromanianer,,Italienisch,
Algerien [3],Arabisch Tamazight,,Arabisch Tamazight,Französisch,
Andorra,Katalanisch [4],Spanisch Französisch Portugiesisch,,,
Angola [5],Portugiesisch,,Kimbundu Umbundu Kikongo Chokwe Kwanyama Ganguela [Zitieren erforderlich],,
Antigua und Barbuda,Englisch (de facto) [6],,,,
Argentinien,Spanisch (de facto),,,,
Armenien,Armenisch,,Armenisch (Staatssprache) [9],,
Artsakh [a],Armenisch,,,,
Australien,"Keine (Englisch ist de facto, aber nicht de jure)",,,,
Österreich [10] [11],Deutsche,Slowenisch Tschechisch Ungarisch Slowakisch Roma Serbisch,Deutsch (Landessprache),,
Aserbaidschan,Aserbaidschanisch,,Aserbaidschanisch (Staatssprache) [12],,
Bahamas,Englisch,,,,
Bahrain,Arabisch,,,,
Bangladesch,Bengali,,Bengali,,
Barbados,Englisch,,,,
Weißrussland,Weißrussisches Russisch,,,,
Belgien,Niederländisch Französisch Deutsch,,,,
Belize,Englisch,,,Kriol (Verkehrssprache),
Benin,Französisch,,,,
Bhutan,Dzongkha,,,,
Bolivien [14],Kastilisch 37 weitere Sprachen,,,,
Bosnien und Herzegowina,Bosnisch (de facto) [15] Kroatisch (de facto) [15] Serbisch (de facto) [15],,,,
Botswana,Englisch Tswana,,Tswana,,
Brasilien,Portugiesisch [16],,Portugiesisch,,
Brunei,Malaiisches Englisch,,,,
Bulgarien,bulgarisch,,,,
Burkina Faso,Französisch,,Fula Jula Mehr,,
Burundi [44] [45],Französisch Kirundi Englisch,,Kirundi,Swahili,
Kambodscha,Khmer,,,,
Kamerun,Englisch Französisch,,,,
Kanada,Englisch (Federal) Französisch (Federal),Chipewyan Cree Gwich'in Inuinnaqtun Inuktitut Inuvialuktun Nordsklave Südsklave TÅ € ± Ì¨chÇ «,,,
Kap Verde,Portugiesisch,,Kapverdisches Kreol,,
Zentralafrikanische Republik,Französisch,Sango,,,
Tschad,Arabisch Französisch,,,,
Chile,Spanisch (de facto),,,,
China,Mandarin,,,Kantonesisch (De facto in Hongkong und Macau),
Weihnachtsinsel,"Englisch, Mandarin, Malaiisch",,,,
Kokosinseln (Keelinginseln),"Englisch, Cocos Malay",,,malaiisch,
Kolumbien,Spanisch,,,,
Komoren,Arabisch Komorisch Französisch,,,,
